,ctb_contrb,pid_contrb,var
325,-0.0035858223052,2,Frank
326,-0.00350986074688,2,determine
327,-0.00337805969403,2,stronger
328,-0.00327881944979,2,Theist
329,0.00298831642631,2,also
330,-0.00294989363789,2,Putting
331,-0.00293923072526,2,that
332,-0.00289049770602,2,Whirr
333,0.00282589463138,2,netcom
334,-0.00263516057327,2,stack
335,0.00259607767946,2,life
336,0.00258841092397,2,he
337,-0.00255170551317,2,there
338,-0.00254197707979,2,ve
339,-0.0024206937754,2,useful
340,-0.00226445857199,2,some
341,0.00218675230616,2,Lines
342,0.0021771868706,2,in
343,-0.00214520691351,2,com
344,-0.00207218689769,2,Communications
345,-0.00203233920787,2,nickname
346,-0.00190048566359,2,it
347,-0.00186202196257,2,click
348,-0.00182210432801,2,named
349,-0.00168757873296,2,might
350,0.00168424818296,2,Killfile
351,0.00158798279285,2,O
352,-0.0015690834722,2,good
353,0.00155980657333,2,really
354,-0.00142040810456,2,forget
355,-0.00140652241034,2,Kids
356,0.00137181285646,2,quote
357,0.00133927061327,2,be
358,0.00124080129531,2,26
359,-0.00123086441026,2,shell
360,0.0012105022853,2,Useful
361,0.00108008886495,2,to
362,-0.0010484563257,2,Geek
363,-0.00103557863086,2,s
364,0.00102792746401,2,was
365,-0.00102656692092,2,memory
366,-0.000983322025635,2,Centigram
367,0.000922380338142,2,Sound
368,0.000890373944536,2,of
369,-0.000826608146152,2,on
370,-0.000808607004638,2,at
371,-0.000736096169032,2,for
372,0.000667792069131,2,the
373,-0.000659692399048,2,professionally
374,0.00063883101673,2,home
375,0.000633749663982,2,My
376,0.00062802594448,2,already
377,0.000626631143713,2,Karamazov
378,0.000616678266428,2,Mad
379,-0.000609139832329,2,From
380,-0.000559737443503,2,I
381,0.000547133161169,2,pop
382,0.000519371070077,2,San
383,-0.000516508441981,2,Never
384,0.000468025461673,2,The
385,-0.000434775497719,2,by
386,-0.000401595301127,2,instead
387,0.000399159865837,2,Closet
388,-0.000338902301646,2,t
389,0.000326461465943,2,Post
390,0.00030903643038,2,a
391,-0.000201011888125,2,this
392,-0.000184025844993,2,DARE
393,0.000179060049055,2,no
394,0.00017669678687,2,is
395,-0.000162803515552,2,please
396,-0.000159971482878,2,Allen
397,-0.000113286334875,2,Half
398,9.70129213279e-05,2,contained
399,9.03754948761e-05,2,been
400,5.64830580093e-05,2,Jose
401,5.37523059662e-05,2,Subject
402,4.25012695033e-05,2,428
403,2.27021075761e-05,2,Ivan
404,0.0299820434985,3,Christians
405,0.024948445618,3,rutgers
406,0.0208421477531,3,Christ
407,0.0172101210087,3,athos
408,-0.0166915869643,3,moral
409,0.0162265162857,3,the
410,0.0153147762481,3,God
411,0.0148358814077,3,and
412,-0.0117053536906,3,ignorance
413,0.0111479622609,3,1993
414,-0.0105395627378,3,writes
415,-0.0100894309735,3,Re
416,0.00900618382641,3,to
417,-0.00881913782692,3,NOT
418,0.00786931309176,3,of
419,0.00762376722072,3,we
420,-0.00688652267218,3,Well
421,0.00679118674906,3,Paul
422,0.00676082937665,3,who
423,0.00643794634508,3,in
424,-0.00636378953314,3,gods
425,0.00635121000391,3,our
426,-0.00598842264475,3,agree
427,-0.00564128057939,3,In
428,-0.00490221758761,3,behavior
429,0.0048608364472,3,that
430,0.00462140067088,3,light
431,-0.00442894723617,3,one
432,-0.0041382720589,3,wishes
433,-0.00386731020294,3,it
434,0.00361588787868,3,through
435,-0.00359333439128,3,using
436,0.00337143176695,3,Leviticus
437,0.00335916413938,3,Christian
438,-0.00335850527578,3,Unix
439,-0.00335675327567,3,world
440,-0.0033130428168,3,And
441,0.00324211587231,3,us
442,0.00324030006359,3,this
443,0.00303856370124,3,not
444,0.00297942061347,3,nor
445,0.00282562665521,3,Lines
446,0.00281788384976,3,Spirit
447,0.00275100459776,3,Subject
448,-0.00272687082483,3,than
449,-0.00269997388093,3,ignore
450,-0.00267858036248,3,No
451,-0.00266897490778,3,named
452,-0.00260883114803,3,above
453,-0.00255983801236,3,free
454,0.00252097457178,3,mls
455,0.00246336025165,3,know
456,0.00245970847443,3,17
457,-0.00240337930815,3,article
458,0.00239168223862,3,issues
459,-0.00227589614527,3,every
460,-0.00222229287384,3,argument
461,-0.00221035410551,3,depends
462,0.00218286242446,3,ritual
463,-0.00217345920677,3,issue
464,0.00217343166264,3,Jesus
465,-0.00215268718749,3,obscure
466,0.00207491244287,3,with
467,-0.00205031917306,3,god
468,0.00203634443302,3,huh
469,-0.00200100173149,3,such
470,0.00188252655394,3,be
471,0.00186924867378,3,homosexuality
472,-0.0018119089429,3,Yes
473,0.00178876884168,3,02
474,0.00178579744365,3,Christianity
475,-0.00176179867557,3,rape
476,0.00175478437498,3,homosexual
477,-0.00174186413543,3,attempting
478,-0.00173796230142,3,against
479,0.00172749622353,3,panix
480,-0.00169457072518,3,cause
481,0.00167093839094,3,guide
482,0.00160620690395,3,for
483,0.00160019207696,3,slander
484,0.00158770821625,3,had
485,-0.00157877646319,3,truth
486,-0.00154669286836,3,incendiary
487,0.00154203955321,3,but
488,-0.00153929151364,3,societies
489,0.00153695311,3,you
490,-0.00152207185424,3,different
491,-0.00151804857766,3,ALL
492,-0.00151715818921,3,High
493,0.00150635650933,3,Bible
494,0.00150581200462,3,never
495,0.00150217165426,3,they
496,0.00150003758256,3,You
497,-0.00148771469602,3,irrelevant
498,0.00147571854732,3,Michael
499,-0.00145817983696,3,relevant
500,0.00144765229411,3,11
501,0.00143131987284,3,may
502,-0.00142850431832,3,start
503,0.00142004463617,3,witness
504,0.00139307020744,3,does
505,-0.00138490025471,3,want
506,0.0013844413252,3,manage
507,-0.00137550629537,3,male
508,-0.00136656589106,3,men
509,0.00134372091608,3,should
510,0.00133351066355,3,The
511,-0.00132067591575,3,rejected
512,-0.00131518358027,3,feels
513,-0.00129213284322,3,these
514,0.00126770735179,3,considerable
515,-0.00126657474553,3,an
516,-0.00125698750521,3,making
517,-0.00125556277694,3,simply
518,-0.00125472453764,3,or
519,0.00123916983965,3,perverse
520,0.00123053001045,3,ones
521,-0.00122984368538,3,letter
522,0.00121543790535,3,herrings
523,0.00121534100738,3,categories
524,0.00118180646835,3,if
525,-0.0011799039525,3,selection
526,-0.00117625107347,3,living
527,0.00117470273093,3,driven
528,0.00116705218578,3,theft
529,0.00116417407986,3,mserv
530,-0.00114839477195,3,there
531,0.00114302493441,3,is
532,0.00113963733132,3,them
533,0.00113725945703,3,red
534,0.00113721227367,3,die
535,-0.00112694098654,3,effeminate
536,0.00112304238435,3,Mark
537,-0.00108990920709,3,its
538,-0.00108712415746,3,seem
539,-0.0010743698973,3,great
540,0.00107416377047,3,For
541,0.00106985656983,3,Siemon
542,-0.00106366849707,3,deeds
543,0.00105280859705,3,spout
544,-0.00104623374497,3,Cor
545,0.00104357678752,3,coveting
546,-0.00103318531125,3,BOTHER
547,0.00102503461865,3,cultural
548,-0.00102233255936,3,completely
549,-0.00102177419676,3,jokers
550,0.00102081524614,3,half
551,0.00101932919964,3,him
552,-0.00101629209899,3,how
553,-0.00100482119024,3,neither
554,0.000997924442018,3,part
555,-0.000981961700882,3,Some
556,-0.000970670391384,3,dead
557,-0.000962313947834,3,tells
558,0.000960629420153,3,NYC
559,-0.000960036166902,3,argues
560,-0.000953553233894,3,Psalm
561,0.000952016132236,3,164
562,0.000941093298877,3,saved
563,0.00093916050849,3,remarkably
564,-0.000938223591367,3,blanket
565,-0.000933703791525,3,shows
566,-0.000917421574239,3,must
567,0.000916962316804,3,humanity
568,-0.00090711377037,3,everyone
569,-0.000906183124189,3,those
570,0.000905271103437,3,command
571,0.000899955222825,3,long
572,-0.000894848796247,3,going
573,0.000891543365913,3,by
574,0.000891184641182,3,don
575,0.000890428393002,3,read
576,-0.000889225106975,3,other
577,0.000887657272527,3,Organization
578,0.000872691807341,3,central
579,0.00087118970229,3,WHY
580,-0.000870988860266,3,any
581,-0.000867811578997,3,evil
582,-0.000863663437439,3,contingent
583,0.000854544294141,3,t
584,0.000847572422451,3,license
585,-0.000843783147169,3,more
586,-0.000843755530133,3,darkness
587,0.000840514424083,3,herring
588,0.000839143927949,3,law
589,-0.000831541127067,3,no
590,-0.00082853178202,3,Such
591,0.000822579284859,3,spirits
592,0.000822242995279,3,linch
593,0.000815278355383,3,adulterers
594,0.000814051932828,3,We
595,-0.000813362180199,3,news
596,-0.000811052722761,3,matter
597,0.000810201880422,3,sleaziest
598,-0.000804584229372,3,fall
599,-0.000804449219953,3,my
600,-0.000796282075943,3,let
601,0.000787541210776,3,committed
602,0.00078341097029,3,see
603,0.000782981252165,3,old
604,0.000780343473962,3,ages
605,0.000774139448746,3,lesbian
606,0.000773252055898,3,interpretations
607,-0.000773019072726,3,what
608,0.000772336996557,3,raised
609,0.000772050111203,3,appears
610,-0.000770812629661,3,discusses
611,0.000770042066931,3,drunkards
612,-0.000769854300522,3,would
613,-0.000766965188212,3,vilest
614,0.000765954761364,3,most
615,0.000757219594552,3,Access
616,0.000755162750062,3,commandment
617,0.000754433735109,3,Homosexual
618,0.000753812889066,3,at
619,0.000753387705459,3,iup
620,-0.000751527471402,3,da
621,-0.000747017679677,3,find
622,0.000744306605311,3,MAGNITUDE
623,-0.000744161683649,3,course
624,-0.000739000033337,3,serious
625,0.00073576601385,3,Sodom
626,-0.000735031132348,3,adult
627,0.00073290441656,3,34
628,-0.000732005678305,3,case
629,0.000725630645523,3,clue
630,0.000725322501903,3,charge
631,0.000722739570002,3,moderator
632,-0.000720184856967,3,quote
633,-0.000720111646636,3,rather
634,-0.00071861219956,3,plenty
635,0.000718360699937,3,amounts
636,-0.000713969295623,3,kinds
637,0.00071319482653,3,without
638,0.000712022001649,3,uncomfortable
639,-0.00071120856404,3,insects
640,0.000707308716458,3,like
641,-0.000702262160571,3,areas
642,0.000701611489342,3,believe
643,0.00069843750095,3,others
644,-0.000694972451896,3,challenge
645,0.000691970284422,3,suppose
646,-0.000689866789496,3,indeed
647,-0.000684499023228,3,led
648,0.000683922315681,3,business
649,-0.000680656931924,3,up
650,-0.000678056147384,3,merits
651,0.000667149656524,3,he
652,0.000658936571198,3,insisting
653,0.000657556001525,3,ZERO
654,-0.00065595022532,3,a
655,-0.000655773364173,3,righteous
656,0.000654346835179,3,parts
657,-0.00065363103575,3,cannot
658,-0.000651149465859,3,clearly
